"","logFC.CDvsOther","logFC.UCvsOther","logFC.HCvsOther","logCPM","LR","PValue","FDR"
"ENSG00000268104",-19.861349703952,11.7989538347234,8.06239586922854,5.87587303560085,1275.32882908145,1.1637600886106e-277,1.86376178190988e-273
"ENSG00000140274",-20.0847962279886,11.382553605198,8.70224262279056,5.20617307611524,1174.43288877859,9.44362033952205e-256,7.56197898687228e-252
"ENSG00000050730",-20.1206303144199,12.5289449281234,7.5916853862965,3.88937487614089,1100.95670891556,8.51703146722234e-240,4.54667529825219e-236
"ENSG00000124102",-18.5759752181788,10.6890383790881,7.88693683909065,5.39008918437761,1097.69559464495,4.34940869248804e-239,1.7413945052549e-235
"ENSG00000237973",-18.8382764775593,8.62398379469851,10.2142926828608,5.67147767054592,1069.44926732065,5.91619205091882e-233,1.8949563139093e-229
"ENSG00000134955",-19.0018787647603,8.66234942209707,10.3395293426632,5.43006132371687,1057.7225968732,2.08188337345253e-230,5.55689370430705e-227
"ENSG00000148346",-16.8717417552283,9.17062652472753,7.7011152305008,6.66222079223477,1000.54883056212,5.41479483598204e-218,1.23882770426075e-214
"ENSG00000206075",-17.9539830595946,8.85937139201248,9.09461166758212,5.33236178933301,977.264083132223,6.16312060887137e-213,1.23377970688844e-209
"ENSG00000007171",-15.6956416278568,9.28854870862157,6.40709291923519,6.55050963239969,974.334309299625,2.66681550258876e-212,4.74545003043989e-209
"ENSG00000157703",-20.4359393411916,9.96701342871113,10.4689259124805,0.197271230506004,969.835934934211,2.52814834322984e-211,4.04882957168259e-208
"ENSG00000224114",-19.3775170410021,10.1855813396467,9.19193570135542,0.0888133325369883,958.092434164863,8.97162979300466e-209,1.30618773759063e-205
"ENSG00000211956",-15.243151346154,10.1456210518443,5.09753029430973,5.20538467667211,954.124273702704,6.52448805684249e-208,8.70747301919437e-205
"ENSG00000152669",-20.9521762081863,10.33283794817,10.6193382600163,0.366977893758707,948.77061799948,9.48588827997701e-207,1.16858846772178e-203
"ENSG00000211663",-15.4650339953783,9.71733120779556,5.7477027875827,5.37463371208134,936.363677172414,4.69041181002315e-204,5.36549608125148e-201
"ENSG00000211659",-16.633565827681,10.664822216297,5.96874361138399,4.10869678058444,932.201322938776,3.7588475524158e-203,4.01319623679594e-200
"ENSG00000186676",-19.9542060127059,9.23959754313308,10.7146084695729,0.249144248120957,930.831825280921,7.45482323743992e-203,7.46181213422502e-200
"ENSG00000115009",-17.577403640491,9.45133758870533,8.12606605178565,4.48523699893333,921.042406806127,9.95823939837091e-201,9.38124729205354e-198
"ENSG00000137975",-19.2969581515351,9.95685629705645,9.34010185447865,0.19364183392999,920.476926770069,1.32121955290054e-200,1.17551839665012e-197
"ENSG00000235026",-19.4604167466625,9.54078598428351,9.91963076237899,0.185530065755484,919.682037187664,1.96599800107428e-200,1.65712936774761e-197
"ENSG00000173080",-19.4018939368927,9.46496195743077,9.93693197946191,0.187733441539217,918.140115245306,4.25017847493059e-200,3.40333041380067e-197
"ENSG00000081041",-18.7518975483719,10.5657096496685,8.18618789870333,3.767169506289,915.023711103772,2.01895076647395e-199,1.53969031071811e-196
"ENSG00000211946",-15.096804035164,10.9619900772119,4.13481395795211,4.0387297901143,913.876930907169,3.58216745737072e-199,2.60765508317236e-196
"ENSG00000256193",-19.8860409937514,9.80306460077095,10.0829763929804,0.313561534311219,909.82136470027,2.7214533642149e-198,1.89495980990876e-195
"ENSG00000088340",-15.7902726449155,9.30729065521866,6.48298198969687,5.3194754129213,909.371112872767,3.40856702750542e-198,2.27450837272914e-195
"ENSG00000163734",-17.6325431352103,10.2033361358866,7.4292069993237,4.01009989755644,908.984581350412,4.13529115204094e-198,2.64906751199742e-195
"ENSG00000186479",-20.2622487778027,9.85380783405659,10.4084409437461,0.388565060474102,907.250295435187,9.84241093947601e-198,6.06254658445032e-195
"ENSG00000276545",-19.5909579569186,9.75432825127927,9.83662970563935,0.26441061569523,907.134901137113,1.04269921636654e-197,6.18475109263336e-195
"ENSG00000257524",-19.3635464925402,9.39990447706085,9.96364201547935,0.207766238548359,904.981553586034,3.06021913703475e-197,1.71580019142191e-194
"ENSG00000215512",-20.7434574586125,10.0510367054234,10.6924207531891,0.478690693470012,904.951227434361,3.10697505783549e-197,1.71580019142191e-194
"ENSG00000163739",-14.4542099597378,9.23227822449886,5.22193173523895,5.73091379025109,902.105147761003,1.28930633163496e-196,6.88274696704462e-194
"ENSG00000162366",-16.9972137346178,9.20341796914552,7.79379576547227,4.67791279853562,901.884172771313,1.43992616962014e-196,7.43884438918273e-194
"ENSG00000235888",-20.2396533631482,10.1863071502521,10.0533462128961,0.428296344440763,899.527910144808,4.67730998165263e-196,2.34084747988022e-193
"ENSG00000199133",-20.2429667342796,10.0441770302042,10.1987897040754,0.428358764571365,899.061315737134,5.90630460947694e-196,2.86634752487191e-193
"ENSG00000279502",-20.0850114274712,10.0661566044002,10.018854823071,0.404351922682201,898.408749266097,8.18500313453998e-196,3.85537721175464e-193
"ENSG00000255374",-19.7483708763659,9.95060991832258,9.79776095804334,0.344100760338567,897.689220150643,1.17290439131315e-195,5.3668753791086e-193
"ENSG00000276365",-19.6668288495626,9.79723276110326,9.8695960884593,0.310905812401675,897.546527266333,1.25964445260679e-195,5.60366830791605e-193
"ENSG00000170558",-19.5381272869555,10.0162896304127,9.5218376565428,0.311987684664189,897.466778002143,1.31088716444545e-195,5.67401565907942e-193
"ENSG00000081818",-20.0353591328416,10.3185691447597,9.7167899880819,0.43070803910918,896.332712018855,2.31113125262537e-195,9.74020184494614e-193
"ENSG00000211934",-14.4537125597403,9.9041419650368,4.54957059470346,4.82665644042734,892.217048608547,1.80937907976884e-194,7.43005281089692e-192
"ENSG00000065833",-16.7512640595358,8.22163474242653,8.5296293171093,5.23464950915323,890.674531085042,3.91275800837282e-194,1.56657048760227e-191
"ENSG00000144837",-19.5589406057336,10.3020976362637,9.25684296946991,0.381860015670344,889.867210752957,5.85855311480978e-194,2.28840800326046e-191
"ENSG00000279165",-21.4387524867861,10.3477734997117,11.0909789870744,0.681942206446334,888.270806574385,1.30150288309351e-193,4.96275444589108e-191
"ENSG00000271969",-19.519164436647,9.43798072976161,10.0811837068854,0.310320616003199,888.152004588158,1.38115575705776e-193,5.14400219750698e-191
"ENSG00000134917",-19.8244742054243,10.1355426900446,9.68893151537968,0.390907248793876,888.061231640731,1.44528585782709e-193,5.26051204843202e-191
"ENSG00000163239",-19.6742565973836,10.042407084099,9.63184951328458,0.382359708147309,887.301788615992,2.11283075805801e-193,7.51932990895533e-191
"ENSG00000053702",-20.2688170637642,9.89150448012214,10.377312583642,0.452054349035662,886.949491950551,2.51979354750838e-193,8.77271601377103e-191
"ENSG00000232015",-20.1225609528746,10.2852724244465,9.83728852842811,0.478247723578757,886.39525628882,3.32441860586837e-193,1.13277795687195e-190
"ENSG00000261652",-19.7974572894387,10.1708947703203,9.62656251911845,0.427956983917918,884.113705391262,1.04027506028292e-192,3.47083439383979e-190
"ENSG00000230797",-20.0282419496185,9.78242916280558,10.2458127868129,0.437051939881095,883.474789993579,1.43181498255874e-192,4.67969733585268e-190
"ENSG00000212747",-19.8184480168057,10.2559300064075,9.56251801039824,0.436142676595049,883.404329318172,1.48315740302098e-192,4.75055316187621e-190
